id m.mc1_1 m.mc1_2 m.mc1_3 m.mc1_4 m.mc1_5 m.mc1_6 m.mc1_7 m.mc1_8 m.mc1_9 m.mc1_10 m.mc1_11 m.mc1_12 m.mc1_13 m.mc1_14 m.mc1_15 m.mc2_1 m.mc2_2 m.mc2_3 m.mc2_4 m.mc2_5 m.mc2_6 m.mc2_7 m.mc2_8 m.mc2_9 m.mc2_10 m.mc2_11 m.mc2_12 m.mc2_13 m.mc2_14 m.mc2_15 m.mc3_1 m.mc3_2 m.mc3_3 m.mc3_4 m.mc3_5 m.mc3_6 m.mc3_7 m.mc3_8 m.mc3_9 m.mc3_10 m.mc3_11 m.mc3_12 m.mc3_13 m.mc3_14 m.mc3_15 r.mc1_1 r.mc1_2 r.mc1_3 r.mc1_4 r.mc1_5 r.mc1_6 r.mc1_7 r.mc1_8 r.mc1_9 r.mc1_10 r.mc1_11 r.mc1_12 r.mc1_13 r.mc1_14 r.mc1_15 r.mc1_16 r.mc1_17 r.mc1_18 r.mc2_1 r.mc2_2 r.mc2_3 r.mc2_4 r.mc2_5 r.mc2_6 r.mc2_7 r.mc2_8 r.mc2_9 r.mc2_10 r.mc2_11 r.mc2_12 r.mc2_13 r.mc2_14 r.mc2_15 r.mc2_16 r.mc2_17 r.mc2_18 r.mc3_1 r.mc3_2 r.mc3_3 r.mc3_4 r.mc3_5 r.mc3_6 r.mc3_7 r.mc3_8 r.mc3_9 r.mc3_10 r.mc3_11 r.mc3_12 r.mc3_13 r.mc3_14 r.mc3_15 r.mc3_16 r.mc3_17 r.mc3_18 r.mc3_19 r.mc3_20
E1035229673 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1
E1036849257 1 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1
E1047286767 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0
E1049964508 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0
E1062821418 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 0
E1070376659 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 1 1
E1072433991 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 1 0 1 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0
E1079114959 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
E1091103146 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 1 0
E1126811418 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1
